model,prompt,trial,score,kind,compile_ok,sim_ok,tests_passed,tests_failed,fix_lines,notes,timestamp
claude46_api,P6,2,0,TB,0,0,0,0,0,TB compile failed (6 errors),2026-04-21T07:57:44
claude46_api,P6,3,0,TB,0,0,0,0,0,TB compile failed (9 errors),2026-04-21T07:57:44
gpt,P1,1,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:45
gpt,P1,2,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:45
gpt,P1,3,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:45
gpt,P2,1,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:45
gpt,P2,2,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:45
gpt,P2,3,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:45
gpt,P3,1,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:45
gpt,P3,2,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:46
gpt,P3,3,3,RTL,1,0,0,0,0,clean compile (ELAB_ONLY),2026-04-21T07:57:46
gpt,P4,1,0,RTL,0,0,0,0,0,compile fails badly or vcs missing,2026-04-21T07:57:46
gpt,P4,2,0,RTL,0,0,0,0,0,compile fails badly or vcs missing,2026-04-21T07:57:46
gpt,P4,3,0,RTL,0,0,0,0,0,compile fails badly or vcs missing,2026-04-21T07:57:46
gpt,P5,1,1,TB,1,1,0,8,0,8 tests failed,2026-04-21T07:57:47
gpt,P5,2,0,TB,0,0,0,0,0,TB compile failed (1 errors),2026-04-21T07:57:47
gpt,P5,3,0,TB,0,0,0,0,0,TB compile failed (1 errors),2026-04-21T07:57:47
gpt,P5b,1,0,TB,0,0,0,0,0,TB compile failed (2 errors),2026-04-21T07:57:47
gpt,P5b,2,0,TB,0,0,0,0,0,TB compile failed (2 errors),2026-04-21T07:57:47
